X,Y,Test or train,Logistic
84.26779,27.61333,train,0.666516401
84.26999,27.97834,train,0.789257321
84.27063,27.96679,train,0.832316045
84.284637,27.569393,train,0.577852512
84.28896,27.92469,train,0.697127587
84.289895,27.587054,train,0.55375406
84.291794,27.569742,train,0.640532769
84.293751,27.587099,test,0.566946488
84.2989,27.80684,train,0.4869555
84.30196,27.91759,train,0.259890597
84.305466,27.692076,train,0.70877305
84.311299,27.567878,train,0.651079089
84.311982,27.986976,test,0.622038893
84.315524,27.566373,train,0.651718269
84.316764,27.582675,train,0.66203656
84.31765,27.90854,train,0.159494003
84.320328,27.56559,train,0.614195815
84.33052,27.88408,train,0.612847546
84.33484,27.8819,train,0.619244063
84.33496,27.75651,train,0.582876723
84.34645,27.9878,test,0.421585813
84.35459,27.98256,train,0.404786436
84.36163,27.97675,test,0.561649428
84.36712,27.75099,train,0.56408569
84.36838,27.97091,train,0.417746885
84.37141,27.97659,train,0.507908536
84.373269,27.573478,train,0.663309476
84.375553,27.570228,train,0.686746973
84.38114,27.97768,train,0.283367885
84.38181,27.74771,test,0.648274413
84.38779,27.70616,train,0.764410571
84.39756,27.71781,train,0.491765228
84.40053,27.7155,train,0.689559959
84.40415,28.31943,test,0.21858832
84.4056,27.70514,train,0.755853556
84.40762,27.610917,train,0.663475264
84.40769,27.655601,train,0.666702298
84.407929,27.638914,train,0.711610766
84.407959,27.643511,train,0.727627529
84.408866,27.659772,train,0.645125378
84.4177,27.70106,train,0.705828917
84.419783,27.953521,train,0.617410882
84.419975,27.66462,test,0.636075556
84.426415,27.738982,train,0.58671383
84.431267,28.176914,train,0.123772709
84.432876,27.788051,train,0.60306663
84.433608,27.992244,train,0.648775068
84.438698,28.170084,test,0.292326217
84.441791,28.09521,train,0.672990556
84.45131,28.004472,train,0.778399926
84.458522,28.022323,train,0.730622031
84.46328,27.58262,train,0.56690935
84.464708,27.649637,train,0.680963748
84.47012,27.56648,train,0.588319351
84.472885,27.762144,train,0.700290465
84.482386,27.538276,train,0.358498824
84.484246,27.536121,test,0.354404632
84.48439,27.56895,train,0.733388954
84.48749,27.63528,train,0.62063261
84.489228,27.532892,test,0.302608615
84.49229,27.56346,train,0.631906092
84.49268,27.57381,train,0.635534385
84.49347,27.55023,train,0.59518521
84.49635,27.64713,train,0.681164189
84.49689,27.54982,train,0.528953065
84.498362,27.628285,test,0.675874422
84.498724,27.916747,train,0.473058923
84.499983,27.819204,train,0.490118748
84.50143,27.55026,train,0.631506728
84.50216,27.58335,train,0.591545326
84.50768,27.58235,test,0.555663168
84.510343,27.533399,train,0.77467471
84.517216,27.532198,test,0.342078269
84.517558,27.543413,train,0.541414989
84.524754,27.572736,train,0.473742932
84.52608,27.8786,train,0.120191253
84.542482,27.911155,test,0.781053903
84.549938,27.869157,train,0.567857542
84.554531,27.565681,train,0.5663013
84.55865,27.564936,train,0.709094412
84.562065,27.964943,train,0.655480239
84.570543,27.697902,train,0.668499908
84.572183,27.702371,train,0.630810245
84.577551,27.715262,train,0.626918293
84.581692,27.717949,train,0.602985794
84.591167,27.721368,train,0.678102379
84.601355,27.726957,train,0.449711164
84.611231,27.870666,test,0.146702687
84.616472,27.605489,test,0.686815248
84.620483,27.969197,train,0.191127814
84.622566,27.998979,train,0.010402806
84.650121,27.600375,test,0.682654574
84.65077,27.57287,train,0.698713566
84.666719,27.82281,test,0.495682657
84.729119,27.577431,train,0.600529655
84.730269,27.568245,train,0.617995703
84.732572,27.564146,train,0.714320955
84.735319,27.560353,train,0.630619406
84.736523,27.55596,test,0.70844105
84.743774,27.550911,train,0.693080523
84.744065,27.802549,train,0.655145467
84.747536,27.548868,train,0.658971039
84.751406,27.546986,train,0.618966848
84.77496,27.81248,test,0.756924659
84.796935,27.540903,test,0.69043451
84.81505,28.04474,train,0.648563343
84.81701,27.86785,train,0.061327294
84.820309,27.806916,train,0.112913607
84.83617,28.10188,train,0.546955088
84.855579,27.806842,train,0.664418092
84.862648,27.473623,train,0.620982198
84.868553,27.485679,test,0.672811665
84.874022,27.46857,train,0.747752206
84.874759,27.880426,train,0.482392498
84.8748,27.88648,train,0.516823967
84.87629,27.90141,train,0.553590784
84.89206,27.80689,train,0.715263243
84.894766,27.911524,train,0.631145137
84.896672,27.475085,train,0.563658446
84.898522,27.483392,train,0.336413515
84.900136,27.473382,train,0.756986092
84.90961,27.80337,train,0.711967876
84.91873,27.79896,test,0.466206524
84.92877,27.79818,train,0.607938519
84.93244,27.80131,test,0.702951537
84.938112,27.803698,train,0.69239078
84.939703,27.456634,train,0.831200479
84.977908,27.402945,train,0.670003681
84.983717,27.404314,train,0.68612872
84.99426,27.406996,test,0.679547186
84.999815,27.799499,train,0.586194817
85.002631,27.410907,train,0.635457755
85.00684,27.79595,test,0.620093682
85.008305,27.368679,train,0.375823366
85.009062,27.420278,test,0.863540449
85.010335,27.372871,train,0.376043943
85.01083,27.78747,train,0.620508037
85.012357,27.414449,train,0.625456508
85.013721,27.376027,test,0.482327169
85.018355,27.405378,train,0.901029567
85.02049,27.42667,train,0.801402653
85.02184,27.78016,train,0.683546424
85.023917,27.410684,train,0.818544755
85.02818,27.418094,test,0.866132664
85.033175,27.434548,train,0.659950583
85.03372,27.77325,train,0.67132395
85.034852,27.439178,train,0.732054676
85.035033,27.849796,train,0.245962501
85.03719,27.44741,train,0.666794153
85.042254,27.473875,test,0.42533522
85.042725,27.477171,train,0.442317033
85.042909,27.463233,train,0.486384951
85.045341,27.76247,train,0.548465236
85.06463,27.89561,train,0.087154144
85.075351,27.404199,train,0.808332878
85.08926,27.3999,train,0.844014677
85.109888,27.859437,test,0.519549643
85.12085,27.88371,test,0.377074124
85.125153,27.545947,test,0.099398916
85.126866,27.737055,train,0.239335393
85.13042,27.88766,train,0.535206313
85.134319,27.860311,train,0.490805294
85.146618,27.88196,test,0.638683771
85.1505,27.920915,train,0.267002951
85.152285,27.92971,test,0.530628182
85.153997,27.366629,train,0.64347956
85.164887,27.365724,train,0.749500777
85.170944,27.364264,test,0.827237665
85.19127,27.986397,test,0.161153725
85.212281,28.00229,train,0.286981883
85.30126,28.18334,train,0.318256133
85.33694,28.1632,train,0.204502728
85.34231,28.17735,test,0.148287672
85.36019,28.23524,train,0.084100338
85.36678,28.2557,train,0.152050616
