x,y,Logistic
82.88751371,28.46250461,0.000036175
82.89584704,28.46250461,0.000074849
82.92084705,28.46250461,0.000062361
82.92084705,28.42083794,0.000038301
82.92918038,28.43750461,0.000462834
82.92918038,28.40417128,0.000012662
82.93751371,28.43750461,0.007553824
82.93751371,28.45417128,0.000037598
82.94584705,28.47083795,0.000015861
82.94584705,28.40417128,0.000149921
82.96251371,28.42083794,0.003015368
82.96251371,28.37083794,0.00009669
82.97084705,28.47083795,0.000013035
82.97084705,28.45417128,0.000026055
82.97918038,28.37083794,0.000061407
82.97918038,28.38750461,0.002467823
82.97918038,28.45417128,0.000013686
82.97918038,28.40417128,0.024804653
82.98751372,28.43750461,0.000165231
82.98751372,28.36250461,0.000105552
82.98751372,28.37917128,0.000106973
82.99584705,28.42083794,0.00316608
82.99584705,28.43750461,0.002142149
82.99584705,28.36250461,0.000315541
82.99584705,28.42917128,0.001609895
82.99584705,28.38750461,0.000545693
83.00418038,28.37917128,0.001468973
83.00418038,28.34583794,0.000908379
83.00418038,28.40417128,0.075823409
83.00418038,28.44583795,0.000117792
83.00418038,28.37083794,0.003896274
83.01251372,28.46250461,0.000021669
83.01251372,28.44583795,0.000016461
83.01251372,28.42083794,0.000558834
83.01251372,28.34583794,0.000755846
83.02084705,28.43750461,0.000098893
83.02084705,28.40417128,0.012007484
83.02084705,28.32917127,0.000188518
83.02918038,28.43750461,0.000055466
83.02918038,28.37083794,0.006765502
83.02918038,28.39583794,0.038518554
83.02918038,28.41250461,0.001072218
83.02918038,28.36250461,0.033643221
83.03751372,28.32917127,0.000227212
83.03751372,28.46250461,0.000147729
83.03751372,28.40417128,0.001302178
83.03751372,28.41250461,0.000099654
83.04584705,28.44583795,0.002428198
83.04584705,28.36250461,0.028370273
83.04584705,28.32917127,0.000122553
83.05418039,28.42083794,0.001031666
83.05418039,28.32083794,0.000076338
83.05418039,28.39583794,0.002211316
83.05418039,28.44583795,0.001143374
83.05418039,28.20417127,0.03911113
83.05418039,28.46250461,0.00003137
83.06251372,28.32083794,0.000128142
83.06251372,28.41250461,0.002140175
83.06251372,28.20417127,0.071673562
83.06251372,28.44583795,0.000069635
83.06251372,28.10417126,0.069502169
83.07084705,28.46250461,0.000012951
83.07084705,28.41250461,0.110825953
83.07084705,28.15417126,0.071441162
83.07084705,28.36250461,0.032809974
83.07084705,28.22917127,0.011117325
83.07084705,28.31250461,0.000161016
83.07084705,28.19583793,0.059554667
83.07084705,28.17917127,0.096335325
83.07084705,28.38750461,0.003739634
83.07084705,28.37917128,0.005196712
83.07084705,28.35417127,0.012641396
83.07918039,28.02083792,0.057515811
83.07918039,28.12083793,0.057912617
83.07918039,28.30417127,0.002902497
83.07918039,28.36250461,0.132097267
83.07918039,28.32083794,0.001370499
83.07918039,28.45417128,0.000040122
83.07918039,28.02917126,0.032213638
83.07918039,28.04583793,0.068579791
83.07918039,28.31250461,0.00040344
83.07918039,28.17917127,0.143975384
83.07918039,27.99583792,0.127662102
83.07918039,28.35417127,0.02774278
83.07918039,28.37917128,0.001980828
83.08751372,28.37917128,0.012683868
83.08751372,28.46250461,0.000042789
83.08751372,28.37083794,0.004597417
83.08751372,28.07083793,0.044581878
83.08751372,28.32083794,0.008144079
83.08751372,28.1125046,0.143996721
83.08751372,28.35417127,0.07029213
83.08751372,28.05417126,0.060247057
83.08751372,28.42917128,0.000207571
83.08751372,28.06250459,0.029352933
83.08751372,27.98750459,0.129655073
83.08751372,27.99583792,0.081906145
